gene,promoter,gene_position,direction,tss,evidence
rrfA,rrsAp,4040517.0,+,4035239.0,"[""COMP"", ""COMP"", ""COMP""]"
rrlA,rrsAp,4037519.0,+,4035239.0,"[""COMP"", ""COMP"", ""COMP""]"
rrsA,rrsAp,4035531.0,+,4035239.0,"[""COMP"", ""COMP"", ""COMP""]"
alaT,rrsAp2,4037260.0,+,4035356.0,"[""COMP"", ""COMP""]"
ileT,rrsAp2,4037141.0,+,4035356.0,"[""COMP"", ""COMP""]"
rrfA,rrsAp2,4040517.0,+,4035356.0,"[""COMP"", ""COMP""]"
rrlA,rrsAp2,4037519.0,+,4035356.0,"[""COMP"", ""COMP""]"
rrsA,rrsAp2,4035531.0,+,4035356.0,"[""COMP"", ""COMP""]"
alaU,rrsDp2,3427033.0,-,3428940.0,"[""COMP"", ""COMP"", ""EXP""]"
ileU,rrsDp2,3427152.0,-,3428940.0,"[""COMP"", ""COMP"", ""EXP""]"
rrfD,rrsDp2,3423787.0,-,3428940.0,"[""COMP"", ""COMP"", ""EXP""]"
rrfF,rrsDp2,3423542.0,-,3428940.0,"[""COMP"", ""COMP"", ""EXP""]"
rrlD,rrsDp2,3426783.0,-,3428940.0,"[""COMP"", ""COMP"", ""EXP""]"
rrsD,rrsDp2,3428762.0,-,3428940.0,"[""COMP"", ""COMP"", ""EXP""]"
thrV,rrsDp2,3423655.0,-,3428940.0,"[""COMP"", ""COMP"", ""EXP""]"
alaU,rrsDp1,3427033.0,-,3429047.0,"[""COMP"", ""COMP"", ""EXP"", ""COMP""]"
ileU,rrsDp1,3427152.0,-,3429047.0,"[""COMP"", ""COMP"", ""EXP"", ""COMP""]"
rrfD,rrsDp1,3423787.0,-,3429047.0,"[""COMP"", ""COMP"", ""EXP"", ""COMP""]"
rrfF,rrsDp1,3423542.0,-,3429047.0,"[""COMP"", ""COMP"", ""EXP"", ""COMP""]"
rrlD,rrsDp1,3426783.0,-,3429047.0,"[""COMP"", ""COMP"", ""EXP"", ""COMP""]"
rrsD,rrsDp1,3428762.0,-,3429047.0,"[""COMP"", ""COMP"", ""EXP"", ""COMP""]"
thrV,rrsDp1,3423655.0,-,3429047.0,"[""COMP"", ""COMP"", ""EXP"", ""COMP""]"
alaU,rrsDp,3427033.0,-,3429047.0,"[""COMP"", ""COMP"", ""EXP"", ""COMP""]"
ileU,rrsDp,3427152.0,-,3429047.0,"[""COMP"", ""COMP"", ""EXP"", ""COMP""]"
rrfD,rrsDp,3423787.0,-,3429047.0,"[""COMP"", ""COMP"", ""EXP"", ""COMP""]"
rrfF,rrsDp,3423542.0,-,3429047.0,"[""COMP"", ""COMP"", ""EXP"", ""COMP""]"
rrlD,rrsDp,3426783.0,-,3429047.0,"[""COMP"", ""COMP"", ""EXP"", ""COMP""]"
rrsD,rrsDp,3428762.0,-,3429047.0,"[""COMP"", ""COMP"", ""EXP"", ""COMP""]"
thrV,rrsDp,3423655.0,-,3429047.0,"[""COMP"", ""COMP"", ""EXP"", ""COMP""]"
alaV,rrsHp,225500.0,+,223485.0,"[""none"", ""COMP"", ""COMP"", ""EXP""]"
ileV,rrsHp,225381.0,+,223485.0,"[""none"", ""COMP"", ""COMP"", ""EXP""]"
rrfH,rrsHp,228756.0,+,223485.0,"[""none"", ""COMP"", ""COMP"", ""EXP""]"
rrlH,rrsHp,225759.0,+,223485.0,"[""none"", ""COMP"", ""COMP"", ""EXP""]"
rrsH,rrsHp,223771.0,+,223485.0,"[""none"", ""COMP"", ""COMP"", ""EXP""]"
alaV,rrsHp1,225500.0,+,223485.0,"[""none"", ""COMP"", ""COMP"", ""EXP""]"
ileV,rrsHp1,225381.0,+,223485.0,"[""none"", ""COMP"", ""COMP"", ""EXP""]"
rrfH,rrsHp1,228756.0,+,223485.0,"[""none"", ""COMP"", ""COMP"", ""EXP""]"
rrlH,rrsHp1,225759.0,+,223485.0,"[""none"", ""COMP"", ""COMP"", ""EXP""]"
rrsH,rrsHp1,223771.0,+,223485.0,"[""none"", ""COMP"", ""COMP"", ""EXP""]"
alaV,rrsHp2,225500.0,+,223593.0,"[""none"", ""COMP"", ""EXP""]"
ileV,rrsHp2,225381.0,+,223593.0,"[""none"", ""COMP"", ""EXP""]"
rrfH,rrsHp2,228756.0,+,223593.0,"[""none"", ""COMP"", ""EXP""]"
rrlH,rrsHp2,225759.0,+,223593.0,"[""none"", ""COMP"", ""EXP""]"
rrsH,rrsHp2,223771.0,+,223593.0,"[""none"", ""COMP"", ""EXP""]"
alaW,alaWp,2518231.0,-,2518253.0,"[""COMP"", ""COMP""]"
alaX,alaWp,2518116.0,-,2518253.0,"[""COMP"", ""COMP""]"
aldA,aldAp,1488232.0,+,1488190.0,"[""COMP"", ""EXP"", ""COMP""]"
aldB,aldBp,3756511.0,-,3756535.0,"[""COMP"", ""EXP""]"
alkA,alkAp,2147540.0,-,2147559.0,"[""COMP"", ""EXP""]"
alkA,alkAp2,2147540.0,-,2147559.0,"[""COMP"", ""EXP""]"
alkB,alkBp,2309341.0,-,2309445.0,"[""COMP"", ""COMP""]"
allA,allAp,532451.0,+,532390.0,"[""none"", ""EXP""]"
allB,allBp3,539147.0,+,538944.0,"[""COMP"", ""EXP"", ""EXP""]"
allB,allBp1,539147.0,+,539041.0,"[""COMP"", ""EXP"", ""EXP""]"
allB,allBp2,539147.0,+,538986.0,"[""COMP"", ""EXP"", ""EXP""]"
allB,gclp,539147.0,+,533907.0,"[""COMP"", ""COMP""]"
gcl,gclp,533916.0,+,533907.0,"[""COMP"", ""COMP""]"
glxK,gclp,541888.0,+,533907.0,"[""COMP"", ""COMP""]"
glxR,gclp,536586.0,+,533907.0,"[""COMP"", ""COMP""]"
hyi,gclp,535710.0,+,533907.0,"[""COMP"", ""COMP""]"
ybbW,gclp,537633.0,+,533907.0,"[""COMP"", ""COMP""]"
ybbY,gclp,540565.0,+,533907.0,"[""COMP"", ""COMP""]"
allC,allDp,545292.0,-,546411.0,"[""COMP"", ""COMP""]"
allD,allDp,546363.0,-,546411.0,"[""COMP"", ""COMP""]"
allE,allDp,544046.0,-,546411.0,"[""COMP"", ""COMP""]"
allS,allSp,532221.0,-,532300.0,"[""none"", ""EXP""]"
alr,alrp2,4265782.0,+,4265652.0,"[""EXP""]"
alr,alrp1,4265782.0,+,4265589.0,"[""EXP""]"
alsA,alsRp1,4310980.0,-,4313132.0,"[""COMP"", ""EXP""]"
alsB,alsRp1,4312042.0,-,4313132.0,"[""COMP"", ""EXP""]"
alsC,alsRp1,4309469.0,-,4313132.0,"[""COMP"", ""EXP""]"
alsE,alsRp1,4308478.0,-,4313132.0,"[""COMP"", ""EXP""]"
alsR,alsRp1,4312991.0,-,4313132.0,"[""COMP"", ""EXP""]"
alsA,alsRp2,4310980.0,-,4313137.0,"[""COMP"", ""EXP"", ""COMP""]"
alsB,alsRp2,4312042.0,-,4313137.0,"[""COMP"", ""EXP"", ""COMP""]"
alsC,alsRp2,4309469.0,-,4313137.0,"[""COMP"", ""EXP"", ""COMP""]"
alsE,alsRp2,4308478.0,-,4313137.0,"[""COMP"", ""EXP"", ""COMP""]"
alsR,alsRp2,4312991.0,-,4313137.0,"[""COMP"", ""EXP"", ""COMP""]"
amiA,amiAp,2552352.0,+,2552241.0,"[""COMP"", ""COMP"", ""EXP""]"
hemF,amiAp,2553225.0,+,2552241.0,"[""COMP"", ""COMP"", ""EXP""]"
amiB,yjeFp2,4396065.0,+,4393937.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
hflC,yjeFp2,4403300.0,+,4393937.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
hflK,yjeFp2,4402038.0,+,4393937.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
hflX,yjeFp2,4400672.0,+,4393937.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
hfq,yjeFp2,4400288.0,+,4393937.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
miaA,yjeFp2,4399252.0,+,4393937.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
mutL,yjeFp2,4397412.0,+,4393937.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
nnr,yjeFp2,4394066.0,+,4393937.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
tsaE,yjeFp2,4395585.0,+,4393937.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
amiB,yjeFp1,4396065.0,+,4393677.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
hflC,yjeFp1,4403300.0,+,4393677.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
hflK,yjeFp1,4402038.0,+,4393677.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
hflX,yjeFp1,4400672.0,+,4393677.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
hfq,yjeFp1,4400288.0,+,4393677.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
miaA,yjeFp1,4399252.0,+,4393677.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
mutL,yjeFp1,4397412.0,+,4393677.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
nnr,yjeFp1,4394066.0,+,4393677.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
tsaE,yjeFp1,4395585.0,+,4393677.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
amiB,yjeFp3,4396065.0,+,4394035.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
hflC,yjeFp3,4403300.0,+,4394035.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
hflK,yjeFp3,4402038.0,+,4394035.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
hflX,yjeFp3,4400672.0,+,4394035.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
hfq,yjeFp3,4400288.0,+,4394035.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
miaA,yjeFp3,4399252.0,+,4394035.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
mutL,yjeFp3,4397412.0,+,4394035.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
nnr,yjeFp3,4394066.0,+,4394035.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
tsaE,yjeFp3,4395585.0,+,4394035.0,"[""COMP"", ""EXP"", ""EXP"", ""COMP""]"
amiD,ybjQp,904913.0,+,904517.0,"[""EXP""]"
ybjQ,ybjQp,904593.0,+,904517.0,"[""EXP""]"
amn,amnp1,2055061.0,+,2055031.0,"[""none"", ""EXP"", ""COMP""]"
ampC,ampCp,4378944.0,-,4379003.0,"[""COMP"", ""EXP""]"
ampD,ampD,118733.0,+,118703.0,"[""none"", ""EXP""]"
ampE,ampD,119281.0,+,118703.0,"[""none"", ""EXP""]"
ampG,yajGp,453545.0,-,454210.0,"[""COMP"", ""EXP"", ""COMP""]"
yajG,yajGp,454167.0,-,454210.0,"[""COMP"", ""EXP"", ""COMP""]"
ampH,ampHp1,396287.0,-,396363.0,"[""EXP""]"
ampH,ampHp2,396287.0,-,396319.0,"[""EXP""]"
amtB,glnKp,472966.0,+,472556.0,"[""COMP"", ""COMP"", ""COMP""]"
glnK,glnKp,472598.0,+,472556.0,"[""COMP"", ""COMP"", ""COMP""]"
amyA,amyAp,2006156.0,+,2006115.0,"[""COMP"", ""COMP""]"
ansB,ansBp1,3100728.0,-,3100790.0,"[""none"", ""EXP""]"
ansB,ansBp2,3100728.0,-,3100751.0,"[""COMP"", ""EXP""]"
ansP,ansPp1,1525980.0,-,1526011.0,"[""COMP"", ""EXP""]"
ansP,ansPp2,1525980.0,-,1526020.0,"[""COMP"", ""EXP""]"
apaG,apaGp,51606.0,-,52034.0,"[""none"", ""EXP"", ""COMP""]"
apaH,apaGp,51222.0,-,52034.0,"[""none"", ""EXP"", ""COMP""]"
apaG,rsmAp,51606.0,-,52588.0,"[""none"", ""EXP""]"
apaH,rsmAp,51222.0,-,52588.0,"[""none"", ""EXP""]"
rsmA,rsmAp,52430.0,-,52588.0,"[""none"", ""EXP""]"
appA,appAp,1040617.0,+,1040599.0,"[""none"", ""COMP"", ""EXP""]"
appA,appCp2,1040617.0,+,1037710.0,"[""COMP"", ""COMP""]"
appB,appCp2,1039296.0,+,1037710.0,"[""COMP"", ""COMP""]"
appC,appCp2,1037740.0,+,1037710.0,"[""COMP"", ""COMP""]"
appX,appCp2,1040445.0,+,1037710.0,"[""COMP"", ""COMP""]"
appA,appCp,1040617.0,+,1037710.0,"[""COMP"", ""COMP""]"
appB,appCp,1039296.0,+,1037710.0,"[""COMP"", ""COMP""]"
appC,appCp,1037740.0,+,1037710.0,"[""COMP"", ""COMP""]"
appX,appCp,1040445.0,+,1037710.0,"[""COMP"", ""COMP""]"
appY,appYp2,583681.0,+,583656.0,"[""none"", ""EXP""]"
appY,appYp1,583681.0,+,583567.0,"[""COMP"", ""COMP""]"
appY,appYp3,583681.0,+,583580.0,"[""COMP"", ""EXP""]"
apt,aptp,491412.0,+,491310.0,"[""COMP"", ""EXP"", ""COMP""]"
araA,araBp,68337.0,-,70075.0,"[""COMP"", ""EXP""]"
araB,araBp,70048.0,-,70075.0,"[""COMP"", ""EXP""]"
araD,araBp,66550.0,-,70075.0,"[""COMP"", ""EXP""]"
araC,araCp,70387.0,+,70223.0,"[""COMP"", ""EXP"", ""COMP""]"
araE,araEp,2982182.0,-,2982208.0,"[""COMP"", ""EXP""]"
ygeA,araEp,2980635.0,-,2982208.0,"[""COMP"", ""EXP""]"
araF,araFp1,1986128.0,-,1986238.0,"[""COMP"", ""EXP""]"
araG,araFp1,1985069.0,-,1986238.0,"[""COMP"", ""EXP""]"
araH,araFp1,1983540.0,-,1986238.0,"[""COMP"", ""EXP""]"
araF,araFp2,1986128.0,-,1986148.0,"[""none"", ""EXP""]"
araG,araFp2,1985069.0,-,1986148.0,"[""none"", ""EXP""]"
araH,araFp2,1983540.0,-,1986148.0,"[""none"", ""EXP""]"
araF,araFp3,1986128.0,-,1986238.0,"[""COMP"", ""EXP""]"
araG,araFp3,1985069.0,-,1986238.0,"[""COMP"", ""EXP""]"
araH,araFp3,1983540.0,-,1986238.0,"[""COMP"", ""EXP""]"
araJ,araJp,412481.0,-,412529.0,"[""COMP"", ""EXP""]"
arcA,arcAp1,4640306.0,-,4640508.0,"[""COMP"", ""EXP"", ""COMP""]"
arcA,arcAp5,4640306.0,-,4640681.0,"[""COMP"", ""COMP"", ""EXP""]"
arcA,arcAp6,4640306.0,-,4640688.0,"[""COMP"", ""EXP"", ""COMP""]"
arcA,arcAp4,4640306.0,-,4640599.0,"[""COMP"", ""COMP"", ""EXP""]"
arcA,arcAp2,4640306.0,-,4640512.0,"[""COMP"", ""EXP"", ""COMP""]"
arcA,arcAp7,4640306.0,-,4640801.0,"[""COMP"", ""COMP"", ""EXP""]"
arcA,arcAp3,4640306.0,-,4640535.0,"[""COMP"", ""EXP"", ""COMP""]"
arcB,arcBp,3353025.0,-,3353049.0,"[""EXP""]"
arcZ,arcZp,3350577.0,+,3350577.0,"[""none"", ""EXP""]"
arfA,arfAp3,3438649.0,-,3438673.0,"[""none"", ""COMP"", ""EXP""]"
arfB,yaeQp,214833.0,+,214280.0,"[""none"", ""EXP""]"
nlpE,yaeQp,215269.0,+,214280.0,"[""none"", ""EXP""]"
yaeQ,yaeQp,214291.0,+,214280.0,"[""none"", ""EXP""]"
argA,argAp,2949242.0,+,2949156.0,"[""COMP"", ""COMP""]"
argB,argCp,4156013.0,+,4154885.0,"[""COMP"", ""EXP""]"
argC,argCp,4155001.0,+,4154885.0,"[""COMP"", ""EXP""]"
argH,argCp,4156850.0,+,4154885.0,"[""COMP"", ""EXP""]"
argD,argDp,3490180.0,-,3490221.0,"[""COMP""]"
argE,argEp2,4154847.0,-,4155078.0,"[""none"", ""EXP""]"
argE,argEp1,4154847.0,-,4154897.0,"[""COMP"", ""EXP"", ""COMP""]"
argF,argFp,290305.0,-,290340.0,"[""COMP"", ""EXP"", ""EXP""]"
argG,argGp,3318637.0,+,3318562.0,"[""COMP"", ""COMP""]"
argI,argIp,4478311.0,-,4478344.0,"[""COMP"", ""EXP""]"
argO,argOp,3068808.0,-,3068836.0,"[""COMP"", ""EXP"", ""EXP"", ""EXP"", ""COMP""]"
argP,argPp,3059753.0,+,3059730.0,"[""none"", ""EXP""]"
argQ,serVp,2817860.0,-,2818697.0,"[""COMP"", ""COMP""]"
argV,serVp,2818549.0,-,2818697.0,"[""COMP"", ""COMP""]"
argY,serVp,2818274.0,-,2818697.0,"[""COMP"", ""COMP""]"
argZ,serVp,2818135.0,-,2818697.0,"[""COMP"", ""COMP""]"
serV,serVp,2818645.0,-,2818697.0,"[""COMP"", ""COMP""]"
argR,argRp1,3384703.0,+,3384677.0,"[""COMP"", ""EXP"", ""COMP""]"
argR,argRp2,3384703.0,+,3384602.0,"[""none"", ""EXP""]"
argS,argSp,1960062.0,+,1960001.0,"[""COMP"", ""COMP"", ""EXP""]"
argT,argTp,2427791.0,-,2427849.0,"[""COMP"", ""COMP"", ""COMP"", ""COMP""]"
hisJ,argTp,2426788.0,-,2427849.0,"[""COMP"", ""COMP"", ""COMP"", ""COMP""]"
hisM,argTp,2425233.0,-,2427849.0,"[""COMP"", ""COMP"", ""COMP"", ""COMP""]"
hisP,argTp,2424509.0,-,2427849.0,"[""COMP"", ""COMP"", ""COMP"", ""COMP""]"
hisQ,argTp,2425916.0,-,2427849.0,"[""COMP"", ""COMP"", ""COMP"", ""COMP""]"
argU,argUp,564723.0,+,564703.0,"[""COMP"", ""COMP""]"
argW,argWp,2466309.0,+,2466308.0,"[""COMP"", ""COMP""]"
argX,argXp,3982375.0,+,3982364.0,"[""none"", ""COMP"", ""EXP"", ""EXP"", ""EXP""]"
hisR,argXp,3982509.0,+,3982364.0,"[""none"", ""COMP"", ""EXP"", ""EXP"", ""EXP""]"
leuT,argXp,3982606.0,+,3982364.0,"[""none"", ""COMP"", ""EXP"", ""EXP"", ""EXP""]"
proM,argXp,3982735.0,+,3982364.0,"[""none"", ""COMP"", ""EXP"", ""EXP"", ""EXP""]"
ariR,ycgZp,1216369.0,+,1215752.0,"[""none"", ""COMP"", ""EXP""]"
ycgZ,ycgZp,1215789.0,+,1215752.0,"[""none"", ""COMP"", ""EXP""]"
ymgA,ycgZp,1216068.0,+,1215752.0,"[""none"", ""COMP"", ""EXP""]"
